file,name,x,y,z,majorRadius,minorRadius
t120.tif,t120_cell_120,378.433532714844,397.667236328125,23.127498626709,20.3975887298584,20.3975887298584
t120.tif,t120_cell_121,450.880676269531,399.352325439453,11.7494678497314,23.8436794281006,23.8436794281006
t120.tif,t120_cell_122,307.911804199219,400.719665527344,21.2158832550049,20.2746047973633,20.2746047973633
t120.tif,t120_cell_123,334.883026123047,401.410339355469,22.6340675354004,20.7849922180176,20.7849922180176
t120.tif,t120_cell_124,233.152725219727,403.932281494141,16.9057655334473,21.7565002441406,21.7565002441406
t120.tif,t120_cell_125,489.418273925781,405.961181640625,22.2775974273682,21.4742240905762,21.4742240905762
t120.tif,t120_cell_126,416.728271484375,407.047760009766,15.9938402175903,20.2360935211182,20.2360935211182
t120.tif,t120_cell_127,295.1689453125,415.080535888672,16.0499629974365,20.1028881072998,20.1028881072998
t120.tif,t120_cell_128,454.728729248047,421.526794433594,18.6449012756348,19.7277565002441,19.7277565002441
t120.tif,t120_cell_129,358.305328369141,424.419036865234,16.9692516326904,24.0057163238525,24.0057163238525
