frame,gt_label,gt_x,gt_y,gt_z,nearest_lumen_dist,candidate_id,candidate_x,candidate_y,candidate_z,candidate_vox,candidate_signal
48,386,373.0,120.0,133.0,4.7994,31,373.424,118.203,128.57,6537,93.3105
48,449,487.0,174.0,168.0,3.1192,56,489.785,172.676,168.469,3504,83.1344
48,480,567.0,227.0,161.0,5.9356,24,566.753,226.076,155.142,9570,97.4629
48,541,276.0,373.0,147.0,6.4099,22,275.124,374.003,153.27,5760,98.6279
48,565,322.0,239.0,161.0,2.5406,57,320.5,238.31,162.931,4689,83.1187
48,590,423.0,227.0,168.0,3.2113,61,421.176,225.51,165.817,7567,80.9483
48,625,476.0,324.0,140.0,4.2935,40,473.47,322.868,143.279,5253,90.2193
49,67,154.0,330.0,133.0,2.8796,10,152.933,332.655,132.677,6804,102.93
49,98,238.0,395.0,105.0,2.2122,21,238.265,393.45,106.556,3639,96.669
49,131,205.0,189.0,161.0,9.0995,13,198.321,184.047,164.696,4926,101.739
